candidate_id,review_id,session_id,product_id,category,sub_category,label_type,canonical_label_key,raw_label,evidence_candidate,confidence,downgrade_reasons,top_impact_score,review_status,review_count,candidate_count,max_confidence,avg_confidence,downgrade_reason_priority,review_ids,session_ids,product_ids,source_candidate_ids,source_review_status,action,action_applied,validation_errors,reviewed_at,reviewer,note,output_label_type,output_canonical_label_key,output_raw_label,output_evidence_candidate
pool:df3be235a1d23c9c,edge-unknown-label,,,outdoor,waders,issue,candidate:boot_seam_leak,Boot Seam Leak,boot seam leaked,0.9,unknown_label,1.8,needs_new_label,1,1,0.9,0.9,100,edge-unknown-label,,,shadow:edge-unknown-label:0:candidate:boot_seam_leak,pending,needs_new_label,True,,2026-07-30T00:00:00Z,step5-local-review-fixture,Keep as local catalog backlog candidate; no DB write.,issue,candidate:boot_seam_leak,Boot Seam Leak,boot seam leaked
pool:cf6b45d6c153e154,waders-351-400-row-365,351,TIDEWE-下水服-WD001,outdoor,waders,highlight,candidate:breathes_well_evidence_unclear,透气性好,Keep me dryish for the most part,0.88,unknown_label,1.76,needs_new_label,1,1,0.88,0.88,100,waders-351-400-row-365,351,TIDEWE-下水服-WD001,shadow:waders-351-400-row-365:0:candidate:breathes_well_evidence_unclear,pending,needs_new_label,True,,2026-07-30T00:00:00Z,step5-local-review-fixture,Keep as local catalog backlog candidate; no DB write.,highlight,candidate:breathes_well_evidence_unclear,透气性好,Keep me dryish for the most part
pool:3c5dc187d659426a,waders-351-400-row-368,351,TIDEWE-下水服-WD001,outdoor,waders,highlight,candidate:good_customer_service,客服服务好,Excellent customer service,0.88,unknown_label,1.76,needs_new_label,1,1,0.88,0.88,100,waders-351-400-row-368,351,TIDEWE-下水服-WD001,shadow:waders-351-400-row-368:0:candidate:good_customer_service,pending,needs_new_label,True,,2026-07-30T00:00:00Z,step5-local-review-fixture,Keep as local catalog backlog candidate; no DB write.,highlight,candidate:good_customer_service,客服服务好,Excellent customer service
pool:b1f868a8103046d5,waders-351-400-row-396,351,TIDEWE-下水服-WD001,outdoor,waders,issue,candidate:not_for_frequent_use,不适合经常使用,I highly recommend them for a backup pair or for someone who doesn't need them often.,0.88,unknown_label,1.76,needs_new_label,1,1,0.88,0.88,100,waders-351-400-row-396,351,TIDEWE-下水服-WD001,shadow:waders-351-400-row-396:0:candidate:not_for_frequent_use,pending,needs_new_label,True,,2026-07-30T00:00:00Z,step5-local-review-fixture,Keep as local catalog backlog candidate; no DB write.,issue,candidate:not_for_frequent_use,不适合经常使用,I highly recommend them for a backup pair or for someone who doesn't need them often.
pool:4d6ed1c4394a62c1,waders-351-400-row-372,351,TIDEWE-下水服-WD001,outdoor,waders,issue,candidate:not_for_hardcore_conditions,不适合极端环境,I think these waders are a good choice for light duty.,0.88,unknown_label,1.76,needs_new_label,1,1,0.88,0.88,100,waders-351-400-row-372,351,TIDEWE-下水服-WD001,shadow:waders-351-400-row-372:0:candidate:not_for_hardcore_conditions,pending,needs_new_label,True,,2026-07-30T00:00:00Z,step5-local-review-fixture,Keep as local catalog backlog candidate; no DB write.,issue,candidate:not_for_hardcore_conditions,不适合极端环境,I think these waders are a good choice for light duty.
pool:71cd6775d1fda797,waders-351-400-row-374,351,TIDEWE-下水服-WD001,outdoor,waders,issue,candidate:thin_boot_sole,厚实度不够,"comes with extras that other choices make you purchase separate.Cons:The water pressure isn't buffered very much and sucks the material to your body, the boots are thin sole",0.88,unknown_label,1.76,needs_new_label,1,1,0.88,0.88,100,waders-351-400-row-374,351,TIDEWE-下水服-WD001,shadow:waders-351-400-row-374:0:candidate:thin_boot_sole,pending,needs_new_label,True,,2026-07-30T00:00:00Z,step5-local-review-fixture,Keep as local catalog backlog candidate; no DB write.,issue,candidate:thin_boot_sole,厚实度不够,"comes with extras that other choices make you purchase separate.Cons:The water pressure isn't buffered very much and sucks the material to your body, the boots are thin sole"
pool:57e2850afc96bd0a,maturity-pet-l1-value-blocked,step5-maturity-rollout,synthetic-pet,pet,Dog Treats,highlight,good_value_for_the_price,Good value for the price,great value for the price,0.91,maturity_blocked,1.729,accepted,1,1,0.91,0.91,90,maturity-pet-l1-value-blocked,step5-maturity-rollout,synthetic-pet,shadow:maturity-pet-l1-value-blocked:0:good_value_for_the_price,pending,accept,True,,2026-07-30T00:00:00Z,step5-local-review-fixture,Accepted in reviewed artifact only; frontstage remains unchanged.,,,,
pool:d36757a7abb96daf,maturity-automotive-l1-quality-blocked,step5-maturity-rollout,synthetic-automotive,automotive,车载充电器,issue,quality_problem,Quality problem,quality is poor,0.91,maturity_blocked,1.729,accepted,1,1,0.91,0.91,90,maturity-automotive-l1-quality-blocked,step5-maturity-rollout,synthetic-automotive,shadow:maturity-automotive-l1-quality-blocked:0:quality_problem,pending,accept,True,,2026-07-30T00:00:00Z,step5-local-review-fixture,Accepted in reviewed artifact only; frontstage remains unchanged.,,,,
pool:0a3d8d1499cedbd8,maturity-baby-l1-issue-blocked,step5-maturity-rollout,synthetic-baby,baby,Baby Bibs,issue,quality_problem,Quality problem,quality is poor,0.9,maturity_blocked,1.71,accepted,1,1,0.9,0.9,90,maturity-baby-l1-issue-blocked,step5-maturity-rollout,synthetic-baby,shadow:maturity-baby-l1-issue-blocked:0:quality_problem,pending,accept,True,,2026-07-30T00:00:00Z,step5-local-review-fixture,Accepted in reviewed artifact only; frontstage remains unchanged.,,,,
pool:85f61303a2f5fead,maturity-3c-l2-specific-blocked,step5-maturity-rollout,synthetic-3c,3c,USB C Charger Block,issue,charging_fails,Charging fails,fails to charge,0.9,maturity_blocked,1.71,accepted,1,1,0.9,0.9,90,maturity-3c-l2-specific-blocked,step5-maturity-rollout,synthetic-3c,shadow:maturity-3c-l2-specific-blocked:0:charging_fails,pending,accept,True,,2026-07-30T00:00:00Z,step5-local-review-fixture,Accepted in reviewed artifact only; frontstage remains unchanged.,,,,
pool:c2eb87dfe99ac14c,edge-maturity-blocked,,,outdoor,waders,issue,water_leaks_through,Water Leaks Through,do not keep you dry,0.9,maturity_blocked,1.71,accepted,1,1,0.9,0.9,90,edge-maturity-blocked,,,shadow:edge-maturity-blocked:0:water_leaks_through,pending,accept,True,,2026-07-30T00:00:00Z,step5-local-review-fixture,Accepted in reviewed artifact only; frontstage remains unchanged.,,,,
